Date	ActiveCases	NewCases
Jun17	NA	47
Jun18	101	23
Jun19	105	23
Jun20	107	17
Jun21	96	2
Jun22	101	23
Jun23	108	25
Jun24	128	40
Jun25	171	55
Jun26	167	28
Jun27	151	-1
Jun28	130	2
Jun29	110	12
Jun30	104	10
Jul1	99	26
Jul2	92	20
Jul3	74	4
Jul4	57	10
Jul5	63	20
Jul6	66	19
Jul7	63	13
Jul8	60	9
Jul9	88	42
Jul10	85	26
Jul11	91	19
Jul12	77	0
Jul13	103	39
Jul14	100	12
Jul15	85	11
Jul16	94	87
Jul17	94	17
Jul18	95	22
Jul19	90	21
Jul20	91	25
Jul21	87	8
Jul22	105	27
Jul23	168	82
Jul24	147	7
Jul25	166	46
Jul26	153	20
Jul27	143	17
Jul28	142	11
Jul29	157	42
Jul30	159	41
Jul31	178	47
Aug1	159	16
Aug2	172	43
Aug3	170	32
Aug4	151	13
Aug5	137	16
Aug6	155	38
Aug7	169	43
Aug8	141	16
Aug9	161	46
Aug10	154	34
Aug11	143	17
Aug12	174	56
Aug13	189	32
Aug14	194	35
Aug15	167	22
Aug16	180	41
Aug17	162	15
Aug18	164	37
Aug19	178	63
Aug20	202	65
Aug21	222	54
Aug22	210	19
Aug23	225	55
Aug24	215	49
Aug25	204	20
Aug26	198	25
Aug27	241	88
Aug28	233	24
Aug29	203	27
Aug30	226	68
Aug31	222	50
Sep1	192	6
Sep2	177	21
Sep3	193	72
Sep4	224	70
Sep5	227	59
Sep6	202	17
Sep7	194	36
Sep8	197	42
Sep9	187	26
Sep10	202	42
Sep11	206	36
Sep12	228	64
Sep13	207	16
Sep14	220	51
Sep15	204	69
Sep16	204	44
Sep17	216	42
Sep18	212	35
Sep19	195	42
Sep20	191	46
Sep21	174	21
Sep22	145	4
Sep23	160	53
Sep24	166	50
Sep25	182	42
Sep26	183	38
Sep27	191	39
Sep28	206	65
Sep29	174	5
Sep30	194	51
Oct1	221	132
Oct2	206	64
Oct3	215	98
Oct4	208	105
Oct5	171	34
Oct6	171	29
Oct7	NA	50
Oct8	206	76
Oct9	NA	NA
Oct10	NA	NA
Oct11	NA	32
Oct12	185	12
Oct13	162	32
Oct14	147	23
Oct15	151	48
Oct16	207	70
Oct17	221	40
Oct18	207	65
Oct19	176	82
Oct20	168	88
Oct21	204	122
Oct22	235	126
Oct23	245	44
Oct24	221	22
Oct25	200	26
Oct26	184	62
Oct27	170	35
Oct28	174	73
Oct29	163	18
Oct30	165	45
Oct31	178	40
Nov1	182	43
Nov2	163	23
Nov3	157	69
Nov4	185	79
Nov5	184	59
Nov6	177	73
Nov7	198	70
Nov8	213	57
Nov9	196	16
Nov10	189	34
Nov11	194	60
Nov12	198	32
Nov13	207	38
Nov14	209	36
Nov15	200	34
Nov16	161	4
Nov17	136	3
Nov18	106	11
Nov19	119	45
Nov20	111	7
Nov21	155	70
Nov22	146	16
Nov23	139	28
Nov24	129	1
Nov25	119	21
Nov26	161	77
Nov27	182	49
Nov28	198	54
Nov29	210	42
Nov30	202	23
Dec1	NA	NA
Dec2	NA	NA
Dec3	NA	NA
Dec4	NA	NA
Dec5	NA	NA
Dec6	NA	NA
Dec7	NA	NA
Dec8	NA	NA
Dec9	NA	NA
Dec10	NA	74
Dec11	214	32
