Date	ActiveCases	NewCases
Jun17	NA	47
Jun18	101	23
Jun19	105	23
Jun20	107	17
Jun21	96	2
Jun22	101	23
Jun23	108	25
Jun24	128	40
Jun25	171	55
Jun26	167	28
Jun27	151	-1
Jun28	130	2
Jun29	110	12
Jun30	104	10
Jul1	99	26
Jul2	92	20
Jul3	74	4
Jul4	57	10
Jul5	63	20
Jul6	66	19
Jul7	63	13
Jul8	60	9
Jul9	88	42
Jul10	85	26
Jul11	91	19
Jul12	77	0
Jul13	103	39
Jul14	100	12
Jul15	85	11
Jul16	94	87
Jul17	94	17
Jul18	95	22
Jul19	90	21
Jul20	91	25
Jul21	87	8
Jul22	105	27
Jul23	168	82
Jul24	147	7
Jul25	166	46
Jul26	153	20
Jul27	143	17
Jul28	142	11
Jul29	157	42
Jul30	159	41
Jul31	178	47
Aug1	159	16
Aug2	172	43
Aug3	170	32
Aug4	151	13
Aug5	137	16
Aug6	155	38
Aug7	169	43
Aug8	141	16
Aug9	161	46
Aug10	154	34
Aug11	143	17
Aug12	174	56
Aug13	189	32
Aug14	194	35
Aug15	167	22
Aug16	180	41
Aug17	162	15
Aug18	164	37
Aug19	178	63
Aug20	202	65
Aug21	222	54
Aug22	210	19
Aug23	225	55
Aug24	215	49
Aug25	204	20
Aug26	198	25
Aug27	241	88
Aug28	233	24
Aug29	203	27
Aug30	226	68
Aug31	222	50
Sep1	192	6
Sep2	177	21
Sep3	193	72
Sep4	224	70
Sep5	227	59
Sep6	202	17
Sep7	194	36
Sep8	197	42
Sep9	187	26
Sep10	202	42
Sep11	206	36
Sep12	228	64
Sep13	207	16
Sep14	220	51
Sep15	204	69
Sep16	204	44
Sep17	216	42
Sep18	212	35
Sep19	195	42
Sep20	191	46
Sep21	174	21
Sep22	145	4
Sep23	160	53
Sep24	166	50
Sep25	182	42
Sep26	183	38
Sep27	191	39
Sep28	206	65
Sep29	174	5
Sep30	194	51
Oct1	221	132
Oct2	206	64
Oct3	215	98
Oct4	208	105
Oct5	171	34
Oct6	171	29
Oct7	198	50
Oct8	206	76
Oct9	196	65
Oct10	195	65
Oct11	192	32
Oct12	185	12
Oct13	162	32
Oct14	147	23
Oct15	151	48
Oct16	207	70
Oct17	221	40
Oct18	207	65
Oct19	176	82
Oct20	168	88
Oct21	204	122
Oct22	235	126
Oct23	245	44
Oct24	221	22
Oct25	200	26
Oct26	184	62
Oct27	170	35
Oct28	174	73
Oct29	163	18
Oct30	165	45
Oct31	178	40
Nov1	182	43
Nov2	163	23
Nov3	157	69
Nov4	185	79
Nov5	184	59
Nov6	177	73
Nov7	198	70
Nov8	213	57
Nov9	196	16
Nov10	189	34
Nov11	194	60
Nov12	198	32
Nov13	207	38
Nov14	209	36
Nov15	200	34
Nov16	161	4
Nov17	136	3
Nov18	106	11
Nov19	119	45
Nov20	111	7
Nov21	155	70
Nov22	146	16
Nov23	139	28
Nov24	129	1
Nov25	119	21
Nov26	161	77
Nov27	182	49
Nov28	198	54
Nov29	210	42
Nov30	202	23
Dec1	171	38
Dec2	177	43
Dec3	185	46
Dec4	189	42
Dec5	190	41
Dec6	189	39
Dec7	216	38
Dec8	217	41
Dec9	219	41
Dec10	226	74
Dec11	214	32
Dec12	222	47
Dec13	196	14
Dec14	186	59
Dec15	180	53
Dec16	176	34
Dec17	188	37
Dec18	198	44
Dec19	198	32
Dec20	193	19
Dec21	162	9
Dec22	185	117
Dec23	235	50
Dec24	234	61
Dec25	224	19
Dec26	217	30
Dec27	216	35
Dec28	222	50
Dec29	193	47
Dec30	189	27
Dec31	191	40
Jan1	187	37
Jan2	190	36
Jan3	192	60
Jan4	197	34
Jan5	185	31
Jan6	221	83
Jan7	309	135
Jan8	346	40
Jan9	273	23
Jan10	274	61
Jan11	222	9
Jan12	195	8
Jan13	210	66
Jan14	217	46
Jan15	303	153
Jan16	288	36
Jan17	262	27
Jan18	247	25
Jan19	259	43
Jan20	286	83
Jan21	290	52
Jan22	298	60	
Jan23	297	44
Jan24	304	73
Jan25	267	25
Jan26	269	33
Jan27	280	96
Jan28	318	90
Jan29	321	67
Jan30	295	47
Jan31	287	34
Feb1	236	14
Feb2	191	8
Feb3	187	51
Feb4	201	82
Feb5	210	59
Feb6	221	50
Feb7	189	12
Feb8	156	10
Feb9	148	22
Feb10	177	60
Feb11	197	44
Feb12	178	17
Feb13	185	35
Feb14	171	16
Feb15	132	3
Feb16	119	18
Feb17	114	25
Feb18	116	23
Feb19	132	36
Feb20	135	15
Feb21	137	29
Feb22	127	13
Feb23	110	7
Feb24	113	16
Feb25	123	55
Feb26	131	31
Feb27	131	25
Feb28	131	18
Mar1	134	18
Mar2	133	13
Mar3	134	20
Mar4	118	14
Mar5	124	26
Mar6	122	24
Mar7	111	8
Mar8	99	8
Mar9	109	18
Mar10	114	29
Mar11	110	23
Mar12	111	16
Mar13	118	17
Mar14	100	1
Mar15	72	3
Mar16	64	6
Mar17	65	10
Mar18	83	29
Mar19	91	24
Mar20	106	30
Mar21	109	10
