Country.Name	Country.Code	X2019
Afghanistan	AFG	38041754
Albania	ALB	2854191
Algeria	DZA	43053054
American Samoa	ASM	55312
Andorra	AND	77142
Angola	AGO	31825295
Antigua and Barbuda	ATG	97118
Argentina	ARG	44938712
Armenia	ARM	2957731
Aruba	ABW	106314
Australia	AUS	25364307
Austria	AUT	8877067
Azerbaijan	AZE	10023318
Bahamas, The	BHS	389482
Bahrain	BHR	1641172
Bangladesh	BGD	163046161
Barbados	BRB	287025
Belarus	BLR	9466856
Belgium	BEL	11484055
Belize	BLZ	390353
Benin	BEN	11801151
Bermuda	BMU	63918
Bhutan	BTN	763092
Bolivia	BOL	11513100
Bosnia and Herzegovina	BIH	3301000
Botswana	BWA	2303697
Brazil	BRA	211049527
British Virgin Islands	VGB	30030
Brunei Darussalam	BRN	433285
Bulgaria	BGR	6975761
Burkina Faso	BFA	20321378
Burundi	BDI	11530580
Cabo Verde	CPV	549935
Cambodia	KHM	16486542
Cameroon	CMR	25876380
Canada	CAN	37589262
Cayman Islands	CYM	64948
Central African Republic	CAF	4745185
Chad	TCD	15946876
Channel Islands	CHI	172259
Chile	CHL	18952038
China	CHN	1397715000
Colombia	COL	50339443
Comoros	COM	850886
Congo, Dem. Rep.	COD	86790567
Congo, Rep.	COG	5380508
Costa Rica	CRI	5047561
Cote d'Ivoire	CIV	25716544
Croatia	HRV	4067500
Cuba	CUB	11333483
Curacao	CUW	157538
Cyprus	CYP	1198575
Czech Republic	CZE	10669709
Denmark	DNK	5818553
Djibouti	DJI	973560
Dominica	DMA	71808
Dominican Republic	DOM	10738958
Ecuador	ECU	17373662
Egypt, Arab Rep.	EGY	100388073
El Salvador	SLV	6453553
Equatorial Guinea	GNQ	1355986
Eritrea	ERI	NA
Estonia	EST	1326590
Eswatini	SWZ	1148130
Ethiopia	ETH	112078730
Faroe Islands	FRO	48678
Fiji	FJI	889953
Finland	FIN	5520314
France	FRA	67059887
French Polynesia	PYF	279287
Gabon	GAB	2172579
Gambia, The	GMB	2347706
Georgia	GEO	3720382
Germany	DEU	83132799
Ghana	GHA	30417856
